顧客ID,取引先名,取引先名（かな）,取引注意フラグ,郵便番号(請求先),都道府県(請求先),住所(請求先),ビル名（請求先）,代表電話,代表Fax,代表E-mail,請求書関連備考,請求書発行方法,請求書希望,会社名(請求書発送先),郵便番号(請求書発送先),住所(請求書発送先),ビル名(請求書発送先),TEL(請求書発送先),FAX(請求書発送先),Web サイト,業種,資本金,従業員数,工事対応エリア,関連会社,備考,※企業コード
5008,和以美株式会社　旭川営業所,わいび,取引可,071-8135,北海道,旭川市末広5条3-2-17,,0166-76-5127,0166-76-5128,,,,,,,,,,,https://www.waibi.co.jp,,"3億3,000万円",313,,,,10069
5009,北欧建設株式会社,ほくおうけんせつ,取引可,064-0824,北海道,札幌市中央区北4条西20丁目2-1,Nord420BLD.,011-614-1266,011-614-1271,,,,,,,,,,,https://hokuou-k.com/,,"1,000万円",10,,,,10436
5010,株式会社BESS札幌,べすさっぽろ,取引可,069-0806,北海道,江別市新栄台2番地23,,011-391-6922,011-391-6884,,,紙請求書,紙請求希望,,,,,,,https://sapporo.bess.jp/,,"1,000万円",15,,,,10072
5011,株式会社エムエス保全センター　防水事業部,えむえすほぜんせんたー,取引可,002-8003,北海道,札幌市北区太平3条3丁目1-35,,011-773-7174,,,,,,,,,,,,https://mshozen.co.jp/,,"1,000万円",12,,北海道建物グループ,,10073
5012,合同会社ノース・アイティー,のーすあいてぃ,取引可,003-0831,北海道,札幌市白石区北郷1条1丁目6番15号,,011-871-3033,,,,,,,,,,,,https://www.northit-taishin.com/,,,,,,,10074
5013,株式会社三浦建業,みうらけんぎょう,取引可,001-0922,北海道,札幌市北区新川2条5丁目7-21,,011-762-2640,011-762-9567,miurakengyou@wonder.ocn.ne.jp,,,,,,,,,,https://www.miurakengyou.com/,,"1,400万円",,,,,10075
5014,株式会社インテリアサンワ,いんてりあさんわ,取引可,078-8261,北海道,旭川市東旭川南1条4丁目5-11,,0166-36-2278,0166-36-1842,,,,,,,,,,,http://sanmac.web.fc2.com/index.html,,"1,000万円",,,,,10079
5015,有限会社勇建工業,ゆうけんこうぎょう,取引可,003-0863,北海道,札幌市白石区川下3条4丁目3-4,,011-875-2286,,,,,,,,,,,,,,"1,000万円",,,,,10080
5016,株式会社丸井・増井工務店,まるいますいこうむてん,取引可,007-0834,北海道,札幌市東区北34条東6丁目1-6,,011-742-7113,011-792-3870,,,,,,,,,,,,,"2,000万円",,,,,10081
5017,萩原建設工業株式会社　札幌支店,はぎわらけんせつこうぎょう,取引可,060-0062,北海道,札幌市中央区南2条西10丁目5番地3,PPCビル 6階,011-205-0058,011-205-0068,,,,,,,,,,,http://www.hagiwara-inc.co.jp/,,"8,000万円",180,,東日本冨士新道路株式会社、萩原物産株式会社、イチエイ山田建設株式会社、アインコンサルタント株式会社、三友鉄建株式会社、丸晃電気工業株式会社,,10082
5018,有限会社長江ダクト工業,ながえだくとこうぎょう,取引可,002-8042,北海道,札幌市北区東茨戸2条3丁目6-5,,011-807-5736,011-807-5746,nagae-dkt@ktd.biglobe.ne.jp,,,,,,,,,,https://www.duct-jp.net/member-list/357,管工事（空調設備、給排水設備等）,300万円,,,,,10083
5019,株式会社AMR Group,えーえむあーるぐるーぷ,取引可,063-0826,北海道,札幌市西区発寒六条14丁目14-40,,011-669-2355,011-669-2356,info@amr-g.com,,,,,,,,,,https://www.amr-g.com/,,500万円,,,,,10084
5020,株式会社吉心興業,きっしんこうぎょう,取引可,061-1425,北海道,恵庭市文京町1丁目11-25,,0123-38-9349,0123-38-9349,,,,,,,,,,,,,300万円,,,,,10089
5021,有限会社MEGAFISH,めがふぃっしゅ,取引可,007-0870,北海道,札幌市東区伏古10条2丁目10-8,,011-783-8585,011-783-8583,,,,,,,,,,,,その他,,,,,,10090
5022,株式会社インテリア・ダイエー,いんてりあだいえー,取引可,062-0052,北海道,札幌市豊平区月寒東2条7丁目2-6,,011-856-5696,011-856-6650,,,メール請求書,daie-28@iaa.itkeeper.ne.jp,,,,,,,http://www.dou-hyou-kyou.jp/member_post/%EF%BC%88%E6%A0%AA%EF%BC%89%E3%82%A4%E3%83%B3%E3%83%86%E3%83%AA%E3%82%A2%E3%83%80%E3%82%A4%E3%82%A8%E3%83%BC/,,"1,000万円",,,,,10212
5023,株式会社伊藤工業,いとうこうぎょう,取引可,050-0063,北海道,室蘭市港北町3丁目3番15号,,0143-55-5011,0143-55-5014,,,メール請求書,h-sato@itou-k.co.jp,,,,,,,http://www.itou-k.co.jp/,,800万円,80,,,,10213
5024,株式会社OIKAWA,おいかわ,取引可,061-3251,北海道,石狩市樽川449-2,,0133-77-6056,0133-77-6058,,,メール請求書,oikawa_0420_jimu@outlook.jp,,,,,,,https://www.oikawa-k.com/,,100万円,,,,,10214
5025,株式会社綜和,そうわ,取引可,002-8054,北海道,札幌市北区篠路町拓北40-29,,011-771-2801,011-771-2802,,,,,,,,,,,https://souwa-wakuwaku.co.jp/,,"1,700万円",,,,,10229
5026,平成建設株式会社　札幌支店,へいせいけんせつ,取引可,003-0823,北海道,札幌市白石区菊水元町3条2丁目1-21,イトウビル 3F,011-807-4011,011-807-4012,,,,,,,,,,,https://heiseikensetu.com/,,"4,000万円",,札幌・江別・岩見沢の道央圏,,,10238
5027,一新電工株式会社　北見支店,いっしんでんこう,取引可,099-0878,北海道,北見市東相内町165番地,,0157-36-1500,0157-36-1550,,,,,,,,,,,,,"1,400万円",,,,,10240
5028,株式会社佐々木製罐工業,ささきせいかんこうぎょう,取引可,079-8424,北海道,旭川市永山14条3丁目2-19,,0166-26-3702,0166-26-3283,sskkan18@soleil.ocn.ne.jp,,,,,,,,,,https://www.city.asahikawa.hokkaido.jp/500/501/502/d057718.html,鋼構造物・鉄筋工事,"1,000万円",,,,,10243
5029,有限会社上総電機工業所　不明,かみそうでんきこうぎょうしょ,取引可,345-0813,埼玉県,南埼玉郡宮代町東姫宮1丁目44番33号,,,04-7170-1646,,,,,,,,,,,,その他,,,,,,10244
5030,有限会社マルヒサ工業,まるひさこうぎょう,取引可,001-0907,北海道,札幌市北区新琴似7条9丁目4-8,,011-764-8444,011-764-5179,,,,,,,,,,,,鋼構造物・鉄筋工事,300万円,,,,,10249
5031,塩見建設株式会社,しおみけんせつ,取引可,078-2512,北海道,雨竜郡北竜町和町31-4,,0164-34-2089,090-9512-2940,,,,,,,,,,,http://siomi-kk.net/,,"2,000万円",26,,,,10270
5032,大成建設株式会社　札幌支店,たいせいけんせつ,取引可,060-0061,北海道,札幌市中央区南1条西1丁目4番地,大成札幌ビル,011-241-1201,,,,,,,,,,,,https://www.taisei.co.jp/,,,8579,,,,10289
5033,株式会社ステップエンジニア,すてっぷえんじにあ,取引可,566-0063,大阪府,摂津市鳥飼銘木町19-24,,072-650-6066,072-646-6255,,,,,,,,,,,,電気・通信工事,,,,,,10294
5034,第一建興江島株式会社　営業部・総務部,だいいちけんこうえしま,取引可,002-0861,北海道,札幌市北区屯田11条1丁目1-12,,011-771-1381,011-771-6361,,,,,,,,,,,https://daiichikenko-ejima.co.jp/,,,,,,,10296
5035,日重建設株式会社,にちじゅうけんせつ,取引可,061-1417,北海道,恵庭市駒場町6丁目1番3号,,0123-32-2305,0123-32-2306,,,,,,,,,,,https://nichijuu.com/,,"3,500万円",60,,,公共土木工事の実績多数,10297
5036,明和工業株式会社　岩内工場,めいわこうぎょう,取引可,045-0001,北海道,岩内郡岩内町字大浜476-22,,0135-63-1212,0135-63-1215,,,,,,,,,,,https://www.meiwajp.com/,,"1,000万円",386,,,,10304
5037,第一カッター興業株式会社　札幌営業所,だいいちかったーこうぎょう,取引可,061-1274,北海道,北広島市大曲工業団地6丁目2-6,,011-375-1761,011-375-1773,,,メール請求書,sapporo@daiichi-cutter.co.jp,,,,,,,https://www.daiichi-cutter.co.jp/,,,390,,,,10318
5038,佐藤重工業株式会社,さとうじゅうこうぎょう,取引可,098-1201,北海道,上川郡下川町旭町58番地,,01654-3-6466,01654-3-1580,keizo610@poplar.ocn.ne.jp,,,,,,,,,,,鋼構造物・鉄筋工事,"2,000万円",18,,,,10325
5039,株式会社ブレイヴ,ぶれいヴ,取引可,007-0890,北海道,札幌市東区中沼町69-5,,011-768-8902,011-768-8903,,,,,,,,,,,,,"1,000万円",,,,,10344
5040,東洋ワークセキュリティ株式会社　旭川営業所,とうようわーくせきゅりてぃ,取引可,070-0030,北海道,旭川市宮下通9丁目766番地,フージャース旭川駅前ビル8F802,0166-29-3885,0166-26-6019,,,,,,,,,,,https://www.tw-s.co.jp/,,,3000,,,,10359
5041,株式会社北成陶業,ほくせいとうぎょう,取引可,003-0836,北海道,札幌市白石区北郷6条10丁目3-18,,011-874-1333,011-874-1334,,,,,,,,,,,http://www.hokusei-t.jp/,,"1,000万円",,,,,10360
5042,株式会社ネクストドア,ねくすとどあ,取引可,001-0033,北海道,札幌市北区北33条西4丁目2-1,,011-887-0995,,,,,,,,,,,,,その他,,,,,,10363
5043,株式会社ジオコン　北海道営業所,じおこん,取引可,066-0051,北海道,千歳市泉沢1007-289,,0123-21-8566,0123-21-8871,,,,,,,,,,,https://www.geocon.co.jp/,,,20,,,,10366
5044,ショーボンド建設株式会社　北海道支店,しょーぼんどけんせつ,取引可,003-0004,北海道,札幌市白石区東札幌4条2丁目1-6,,011-822-8045,011-841-3252,,,,,,,,,,,https://www.sho-bond.co.jp/,鋼構造物・鉄筋工事,,,,,,10367
5045,三栄運輸株式会社,さんえいうんゆ,取引可,079-8452,北海道,旭川市永山北2条11丁目36-5,,0166-47-6245,0166-73-6580,,,メール請求書,asahikawa-soumu@sanei-unyu.com,,,,,,,http://sanei-unyu.com/,,,124,,,,10368
5046,東邦電気工業株式会社　北海道支店,とうほうでんきこうぎょう,取引可,060-0010,北海道,札幌市中央区北10条西21丁目1-20,,011-805-1040,,,,,,,,,,,,https://www.toho-elec.co.jp/,電気・通信工事,,727,,,移転：旧住所　札幌市中央区北6条西18丁目1-13　KSビル,10369
5047,三共舗道株式会社　本社,さんきょうほどう,取引可,065-0018,北海道,札幌市東区北18条東1丁目3番3号,ともえビル,011-742-7071,011-741-1259,,,メール請求書,fukushima@sankyohodo.co.jp,,,,,,,http://www.sankyohodo.co.jp/,,1億円,,,中山組グループ,,10372
5048,株式会社日樹建設,にちじゅけんせつ,取引可,003-0026,北海道,札幌市白石区本通8丁目南2-9,,011-807-4792,011-807-4793,,,紙請求書,紙請求希望,,,,,,,https://nijju.jp/,,,17,,,,10373
5049,札幌動力有限会社,さっぽろどうりょく,取引可,004-0877,北海道,札幌市清田区平岡7条3丁目10-8,,011-886-8448,011-885-3901,,,,,,,,,,,https://satsudo.jp/,,300万円,8,,,,10374
5050,株式会社北海道ネットワークス,ほっかいどうねっとわーくす,取引可,048-2562,北海道,小樽市蘭島1-27-5,,0134-65-2121,0134-64-3003,,,メール請求書,hnwx-2121@voice.ocn.ne.jp,,,,,,,,,500万円,10,,,,10386
5051,五月興産株式会社　京葉事業所,さつきこうさん,取引可,290-0066,千葉県,市原市五所141-3,,0436-42-3611,0436-42-3612,,,,,,,,,,,http://satsukikousan.com/,管工事（空調設備、給排水設備等）,,,,,,10387
5052,株式会社さくら　広島支店,さくら,取引可,730-0045,広島県,広島市中区鶴見町5-1,VUビル1,082-258-5776,082-553-9499,,,,,,,,,,,https://sakura-sarvice.com,,,,関東一円特に千葉県や東京都を中心,YAMADA電機の配送設置工事業,,10389
5053,物林株式会社　札幌支店,ぶつりん,取引可,060-0003,北海道,札幌市中央区北3条西2丁目10-2,札幌HSビル3F,011-271-1188,011-271-3030,,,,,,,,,,,https://www.mbr.co.jp,,,,,,,10519
5054,一般財団法人日本森林林業振興会　札幌支部,にほんしんりんりんぎょうしんこうかい,取引可,064-0954,北海道,札幌市中央区宮の森4条4丁目1-5,,011-622-5253,011-622-5254,,,メール請求書,jff03keiri@center-green.or.jp,,,,,,,http://www.center-green.or.jp/sapporo/index.html,,,,,,,10395
5055,国土建設株式会社,こくどけんせつ,取引可,003-0835,北海道,札幌市白石区北郷5条3丁目2,,011-874-3456,011-874-3440,info@kokudo-c.com,,メール請求書,niizuma@kokudo-c.com,,,,,,,https://www.kokudo-c.com/,,"2,000万円",,,,受注先：市・道・官公庁の公共施設、学校等の改修など,10402
5056,株式会社エコプラン　本社,えこぷらん,取引可,090-0838,北海道,北見市西三輪4丁目696-5,,0157-36-3357,0157-36-8088,,,,,,,,,,,https://www.ep-ecoplan.jp/,電気・通信工事,"1,000万円",344,北海道一円,,,10422
5057,株式会社オー・エヌ・オー,おーえぬおー,取引可,088-0605,北海道,釧路郡釧路町別保原野南22線,,0154-40-6685,0154-40-6686,,,,,,,,,,,https://ono946.com/,,"1,000万円",21,,,,10423
5058,株式会社グーテック,ぐーてっく,取引可,007-0803,北海道,札幌市東区東苗穂3条3丁目1-27,,011-299-3722,011-299-3727,info@guttech.jp,,,,,,,,,,https://guttech.jp/,,"2,000万円",,,,,10432
